SpeakerLabel,Gender,Word,VowelPhoneme,ClassNo,Time,Formant1,Formant2,Formant3
jah001,F,heed,IY,1,1.336078,444.623659,2809.593757,3389.504115
jah001,F,had,AE,2,4.123765,1000.117362,1785.756909,2933.149666
jah001,F,heard,ER,3,8.320871,718.361613,1985.049514,3149.51711
knb001,F,heed,IY,1,0.805773,593.824486,2738.706465,3328.84062
knb001,F,had,AE,2,3.419196,986.417708,1805.294539,3080.968468
knb001,F,heard,ER,3,6.886281,713.622066,1928.404545,3065.255801
lst001,F,heed,IY,1,0.917606,407.421755,2662.38123,3279.211026
lst001,F,had,AE,2,4.642351,913.687982,1647.390652,2867.369911
lst001,F,heard,ER,3,9.40856,668.228197,1661.283241,2904.843279
mpt001,F,heed,IY,1,4.230894,409.972737,2571.354766,3143.282992
mpt001,F,had,AE,2,8.062195,1053.10275,1704.776373,2701.320371
mpt001,F,heard,ER,3,13.892148,600.69253,1738.022781,2883.353559
rkk001,F,heed,IY,1,1.091144,441.356203,2734.782725,3308.078497
rkk001,F,had,AE,2,4.087915,1037.747357,1664.813112,2924.301494
rkk001,F,heard,ER,3,8.951759,678.06914,1646.877341,2701.800319
ajh001,M,heed,IY,1,1.402556,335.054646,2401.964158,2944.723658
ajh001,M,had,AE,2,3.909494,797.376187,1513.562445,2550.032997
ajh001,M,heard,ER,3,7.420666,500.035462,1568.729753,2759.901495
ars001,M,heed,IY,1,2.918612,2226.84605,3029.972522,3568.241422
ars001,M,had,AE,2,5.235179,733.835426,1594.398804,2557.709481
ars001,M,heard,ER,3,8.994954,545.800491,1522.399976,2537.796701
ikp001,M,heed,IY,1,1.442999,241.151665,2367.653052,3411.540557
ikp001,M,had,AE,2,4.546487,801.475663,1555.249308,2691.236634
ikp001,M,heard,ER,3,8.770004,524.166914,1531.881687,2514.258107
mam001,M,heed,IY,1,1.354846,241.245682,2306.409288,2978.191876
mam001,M,had,AE,2,3.99286,740.925128,1512.650839,2468.172497
mam001,M,heard,ER,3,8.414983,554.754972,1571.515792,2417.672798
wxh001,M,heed,IY,1,2.088489,195.487134,2234.774456,2923.812185
wxh001,M,had,AE,2,5.397079,749.056427,1578.23151,2373.444439
wxh001,M,heard,ER,3,10.983397,486.092628,1469.484685,2567.798367
edc001,F,heed,IY,1,1.251389,381.835224,2780.248918,3335.232708
edc001,F,had,AE,2,4.557608,1057.686655,1687.436897,2907.001051
edc001,F,heard,ER,3,8.315047,801.665449,2039.720186,2862.662298
jfj001,F,heed,IY,1,1.152632,399.080566,2863.137821,3427.606362
jfj001,F,had,AE,2,4.822394,970.804159,1802.679328,2890.512244
jfj001,F,heard,ER,3,10.294549,830.758582,2249.893582,3024.873966
sjt001,F,heed,IY,1,1.869561,345.777562,2471.386291,3170.134798
sjt001,F,had,AE,2,4.176576,1006.247148,1738.638601,2848.081531
sjt001,F,heard,ER,3,11.654249,744.534851,1795.976606,2898.079022
tlr001,F,heed,IY,1,1.142452,431.384694,2701.2674,3298.456287
tlr001,F,had,AE,2,2.915348,941.101754,1452.442383,2660.8712
tlr001,F,heard,ER,3,6.589317,796.25128,1871.384998,3006.941974
yjs001,F,heed,IY,1,3.445976,312.353107,2958.194207,3017.71654
yjs001,F,had,AE,2,5.708626,1061.097342,1679.839796,2962.16276
yjs001,F,heard,ER,3,8.979222,847.377284,1864.048996,3287.918897
axc001,M,heed,IY,1,1.042199,151.047457,2407.551896,3040.437109
axc001,M,had,AE,2,2.597579,842.501772,1549.176229,2474.589083
axc001,M,heard,ER,3,5.169723,610.317691,1622.100732,2664.563035
dwc001,M,heed,IY,1,1.33851,282.425146,2445.012062,2785.923649
dwc001,M,had,AE,2,3.443885,774.648016,1420.668884,2325.694002
dwc001,M,heard,ER,3,6.240065,570.014098,1743.093238,2556.886591
jlf001,M,heed,IY,1,1.310046,290.140152,1972.149515,2468.176741
jlf001,M,had,AE,2,3.994257,770.485347,1291.842492,2539.606669
jlf001,M,heard,ER,3,8.888253,631.543613,1672.884703,2431.755754
pxc001,M,heed,IY,1,1.760444,288.631109,2125.669448,2561.541153
pxc001,M,had,AE,2,6.536164,803.085838,1231.382377,2425.025928
pxc001,M,heard,ER,3,12.739399,575.851141,1391.33879,2620.591727
txb001,M,heed,IY,1,1.567436,312.020136,2175.150353,2708.948372
txb001,M,had,AE,2,5.169351,813.683202,1599.922864,2819.456654
txb001,M,heard,ER,3,9.985813,639.500626,1706.64126,2432.172204
cxf001,F,heed,IY,1,0.673684,390.762126,2562.525894,2779.727167
cxf001,F,had,AE,2,1.869906,798.088508,1454.57435,2725.545629
cxf001,F,heard,ER,3,3.910994,560.175798,1738.372257,2907.871259
gtb001,F,heed,IY,1,0.976897,352.124665,2871.799839,2958.381043
gtb001,F,had,AE,2,3.852821,780.7402,1566.785968,2853.436319
gtb001,F,heard,ER,3,7.982235,541.579726,1897.410643,2666.82082
lrg001,F,heed,IY,1,2.359876,370.423412,2653.770013,3358.962331
lrg001,F,had,AE,2,3.650284,1110.23931,1763.842352,2261.7889
lrg001,F,heard,ER,3,5.957608,612.638827,1946.312253,2881.970947
mmg001,F,heed,IY,1,1.805072,243.431761,2916.601021,3495.109513
mmg001,F,had,AE,2,4.565997,987.543119,1633.285134,2933.902266
mmg001,F,heard,ER,3,9.170858,503.033229,1916.794243,2806.242861
zlt001,F,heed,IY,1,1.637156,453.436766,2575.032572,3057.564538
zlt001,F,had,AE,2,3.373362,955.120882,1487.556026,2464.314659
zlt001,F,heard,ER,3,6.230879,604.234899,1702.140927,2816.749216
asp002,M,heed,IY,1,1.136933,328.302697,2199.860963,2710.383142
asp002,M,had,AE,2,3.048704,846.600444,1516.622465,2276.423726
asp002,M,heard,ER,3,5.554269,553.531054,1574.986501,2435.727601
gxb001,M,heed,IY,1,0.517599,394.570141,2363.22405,3018.543986
gxb001,M,had,AE,2,2.013419,794.431585,1561.051551,2716.427234
gxb001,M,heard,ER,3,4.174941,511.79841,1671.485545,2657.71669
mrm001,M,heed,IY,1,1.13461,252.787453,2309.739254,2862.687484
mrm001,M,had,AE,2,2.857052,755.116991,1314.020814,2709.591046
mrm001,M,heard,ER,3,5.240893,470.391998,2022.011451,2653.191163
pdk001,M,heed,IY,1,1.153507,275.523875,2272.181483,2880.98184
pdk001,M,had,AE,2,2.64587,793.039388,1312.616492,2422.292704
pdk001,M,heard,ER,3,5.462205,598.608044,1536.311959,2617.604931
tfg001,M,heed,IY,1,1.413406,290.349675,2356.876915,3010.734406
tfg001,M,had,AE,2,4.464728,757.264971,1405.748877,2780.66356
tfg001,M,heard,ER,3,8.703802,463.22341,1654.139553,2803.576741
axm001,F,heed,IY,1,0.901774,313.987916,2388.054636,3009.665035
axm001,F,had,AE,2,2.145653,844.835316,1704.421504,2339.663149
axm001,F,heard,ER,3,4.799792,559.389756,1685.015703,2131.082356
hmm001,F,heed,IY,1,1.562969,270.56366,2588.992682,2957.404896
hmm001,F,had,AE,2,3.572905,853.131289,1426.778512,2507.678568
hmm001,F,heard,ER,3,6.61387,594.548113,1782.790722,2271.87957
mmd001,F,heed,IY,1,0.575554,419.95285,2710.044351,3147.181586
mmd001,F,had,AE,2,2.967945,1039.753636,1533.391881,2421.12481
mmd001,F,heard,ER,3,6.309442,550.854728,1682.975645,2003.805751
taq001,F,heed,IY,1,1.302953,293.866583,2607.229679,3387.659845
taq001,F,had,AE,2,4.378794,945.335727,1635.354707,2740.038874
taq001,F,heard,ER,3,8.887876,544.808257,1398.205909,1861.604614
tot001,F,heed,IY,1,1.613657,288.774409,2828.964832,3331.646916
tot001,F,had,AE,2,3.539297,868.062843,1551.358839,2939.464389
tot001,F,heard,ER,3,6.447859,617.453814,1744.678556,2030.316069
cpd001,M,heed,IY,1,2.109038,267.478191,2279.48861,3046.794792
cpd001,M,had,AE,2,5.661745,830.74216,1422.445579,2585.567101
cpd001,M,heard,ER,3,10.024276,523.112597,1415.035777,1760.310852
djd001,M,heed,IY,1,1.177048,362.592663,2443.441612,3061.24512
djd001,M,had,AE,2,3.607149,793.023857,1577.27199,3126.520001
djd001,M,heard,ER,3,7.209397,1038.476784,1607.724471,3059.149304
jas001,M,heed,IY,1,4.556897,253.62225,2409.674706,2844.636002
jas001,M,had,AE,2,6.809502,796.256696,2135.760539,2510.699204
jas001,M,heard,ER,3,10.113932,650.595576,1411.722458,3190.532554
pgd001,M,heed,IY,1,1.873699,284.091833,2348.590693,2774.545112
pgd001,M,had,AE,2,3.813585,759.865681,1490.267664,2608.79749
pgd001,M,heard,ER,3,6.942405,998.95008,1589.418787,3294.459236
rme001,M,heed,IY,1,1.193251,2184.822858,3039.875469,3473.832767
rme001,M,had,AE,2,2.478765,814.769985,1413.167181,2645.839488
rme001,M,heard,ER,3,5.281651,990.905319,1587.519404,2861.087289
gke001,F,heed,IY,1,1.070661,442.402929,2593.681537,3106.869195
gke001,F,had,AE,2,2.620604,920.372736,1631.69748,2806.92869
gke001,F,heard,ER,3,5.252671,729.748078,1760.272966,2888.542322
mjo001,F,heed,IY,1,1.617458,392.955114,2623.297738,3230.859818
mjo001,F,had,AE,2,4.656751,1114.648784,1443.642794,1722.379981
mjo001,F,heard,ER,3,8.806989,695.424542,1973.471412,3037.802681
nta001,F,heed,IY,1,2.132958,362.870542,2529.431449,2847.030112
nta001,F,had,AE,2,3.832057,913.162415,1683.998259,2805.089861
nta001,F,heard,ER,3,6.838875,665.740964,1765.273041,3034.790198
sce001,F,heed,IY,1,1.414265,287.706799,2658.028926,3316.746665
sce001,F,had,AE,2,3.469059,954.430358,1581.710579,2841.559634
sce001,F,heard,ER,3,7.126043,539.263134,1583.803811,2852.992069
wjh001,F,heed,IY,1,1.019999,368.153381,2616.25882,3281.5423
wjh001,F,had,AE,2,4.265402,903.101582,1622.445133,2801.960558
wjh001,F,heard,ER,3,9.134233,692.812485,1537.924354,2810.70102
dme001,M,heed,IY,1,1.533987,275.552878,2405.503976,3234.513156
dme001,M,had,AE,2,4.528162,810.923106,1507.057389,2597.328875
dme001,M,heard,ER,3,10.709806,539.305475,1461.763433,2560.822642
hak001,M,heed,IY,1,1.199742,209.024609,2153.266365,3034.422755
hak001,M,had,AE,2,4.967123,932.637271,1397.279388,2641.342144
hak001,M,heard,ER,3,10.174196,588.666129,1503.633571,2724.89703
kmp001,M,heed,IY,1,2.232731,220.955844,2267.247297,3064.011288
kmp001,M,had,AE,2,5.413853,926.017011,1692.448516,2558.551973
kmp001,M,heard,ER,3,9.926877,674.118523,1516.618113,2343.242296
mjc001,M,heed,IY,1,1.393879,284.904053,2490.524759,3098.401866
mjc001,M,had,AE,2,5.183405,972.530188,1606.190042,2666.531726
mjc001,M,heard,ER,3,11.024406,585.249896,1669.221268,2612.789513
rws001,M,heed,IY,1,2.88665,319.691652,2357.731836,2820.143564
rws001,M,had,AE,2,5.329194,796.434301,1538.121814,3139.960398
rws001,M,heard,ER,3,10.178228,499.570359,1534.045916,3047.250635
